iter	RMSE
0	4899.776623
1	4857.97489
2	4795.985744
3	4744.407928
4	4682.728456
5	4615.553563
6	4580.767608
7	4521.873183
8	4470.707038
9	4424.686394
10	4389.59155
11	4336.696491
12	4273.331762
13	4218.61435
14	4167.59051
15	4115.908152
16	4094.439422
17	4042.826874
18	3994.492143
19	3963.644298
20	3917.791429
21	3877.906386
22	3815.499027
23	3781.966828
24	3744.106818
25	3695.264505
26	3651.431906
27	3615.707827
28	3578.370401
29	3537.505078
30	3492.568994
31	3464.152966
32	3423.799893
33	3389.182216
34	3350.437323
35	3307.938352
36	3266.659192
37	3227.655956
38	3204.053248
39	3176.854958
40	3143.447732
41	3109.626291
42	3077.505136
43	3044.941278
44	3009.756739
45	2994.361159
46	2965.32894
47	2939.967107
48	2912.30127
49	2872.947189
50	2857.201183
51	2828.746253
52	2801.000765
53	2773.837311
54	2756.162044
55	2724.683645
56	2703.658625
57	2679.594476
58	2653.440034
59	2635.386253
60	2620.076456
61	2594.891526
62	2572.188789
63	2553.738184
64	2533.227406
65	2512.999967
66	2492.526622
67	2472.387781
68	2450.458363
69	2433.409418
70	2412.631044
71	2397.262151
72	2385.211737
73	2375.243818
74	2354.752293
75	2332.720033
76	2312.214767
77	2296.977218
78	2277.387705
79	2265.766423
80	2253.033006
81	2235.912199
82	2221.037584
83	2206.900673
84	2190.652219
85	2176.260011
86	2172.035777
87	2164.568979
88	2150.317759
89	2145.841872
90	2134.501974
91	2125.883078
92	2110.177597
93	2105.200706
94	2097.747505
95	2087.631508
96	2074.050447
97	2058.624903
98	2051.979329
99	2034.798809
100	2024.630647
101	2020.385751
102	2016.437362
103	2005.620508
104	2000.15256
105	1997.138125
106	1987.386449
107	1974.939918
108	1964.604356
109	1948.575859
110	1944.628828
111	1932.108195
112	1924.390389
113	1912.488031
114	1900.983732
115	1897.132875
116	1891.975867
117	1882.337498
118	1873.71368
119	1861.39242
120	1855.420005
121	1837.123048
122	1830.758393
123	1827.151486
124	1812.519119
125	1805.00447
126	1798.291054
127	1789.528674
128	1784.02496
129	1776.271647
130	1772.42496
131	1769.715757
132	1757.104274
133	1751.210533
134	1742.357278
135	1737.099743
136	1730.306198
137	1722.731763
138	1715.21529
139	1706.33927
140	1699.955318
141	1697.595242
142	1690.852205
143	1681.248679
144	1675.10591
145	1669.909713
146	1662.85436
147	1658.038717
148	1650.254393
149	1645.20162
150	1640.927994
151	1630.613655
152	1622.099963
153	1613.245173
154	1605.263173
155	1602.606149
156	1598.421339
157	1587.774037
158	1584.083277
159	1581.415972
160	1574.644049
161	1571.670975
162	1568.538994
163	1561.21877
164	1557.143134
165	1555.429405
166	1549.634786
167	1543.26031
168	1539.380795
169	1534.324627
170	1528.513954
171	1527.434124
172	1517.675938
173	1513.547276
174	1508.912695
175	1503.363181
176	1495.703375
177	1494.52677
178	1491.874239
179	1488.221001
180	1484.521249
181	1481.132078
182	1476.558421
183	1467.429169
184	1461.227507
185	1453.696374
186	1450.759551
187	1448.810586
188	1445.694382
189	1438.785173
190	1437.229681
191	1434.4621
192	1427.613033
193	1420.448228
194	1419.06828
195	1415.229637
196	1410.45204
197	1406.263006
198	1396.192426
199	1385.911541
200	1384.49339
201	1377.959271
202	1375.787164
203	1369.868976
204	1365.054551
205	1362.103537
206	1360.096299
207	1358.430897
208	1354.110428
209	1352.798513
210	1350.961913
211	1347.616027
212	1342.076799
213	1338.946702
214	1337.674967
215	1328.404303
216	1324.654874
217	1320.62141
218	1316.522073
219	1313.512767
220	1311.061037
221	1304.133463
222	1300.74219
223	1296.275372
224	1291.688744
225	1286.100541
226	1280.944112
227	1276.890667
228	1274.669248
229	1270.053027
230	1264.940372
231	1260.101249
232	1253.687568
233	1247.52645
234	1243.63868
235	1239.082891
236	1236.474735
237	1231.107149
238	1229.920263
239	1225.257187
240	1220.3526
241	1213.551843
242	1209.21525
243	1205.824539
244	1202.192429
245	1200.302903
246	1198.91319
247	1194.699174
248	1187.611776
249	1183.468394
250	1182.544684
251	1178.142043
252	1177.352125
253	1171.814344
254	1167.472267
255	1165.912166
256	1161.393488
257	1154.916201
258	1151.899112
259	1148.42676
260	1142.216915
261	1138.078542
262	1133.08105
263	1129.841988
264	1125.21765
265	1123.599832
266	1117.329364
267	1116.502044
268	1114.205984
269	1109.378516
270	1104.814337
271	1102.667797
272	1097.933459
273	1093.718024
274	1090.705866
275	1086.918511
276	1083.179347
277	1081.80075
278	1075.777258
279	1071.297905
280	1067.733689
281	1065.737911
282	1062.681446
283	1059.491448
284	1055.750473
285	1052.511323
286	1049.069119
287	1042.385976
288	1035.968803
289	1033.67074
290	1030.974907
291	1025.043512
292	1022.175296
293	1019.018621
294	1014.934074
295	1011.077395
296	1008.146535
297	1002.360406
298	997.800024
299	993.8364351
300	989.9906073
301	987.2981098
302	983.628004
303	980.8498684
304	979.5386912
305	974.4015557
306	968.7085952
307	964.2653781
308	959.7028171
309	956.1428575
310	951.2574803
311	948.3879113
312	945.9233176
313	939.187168
314	936.1136331
315	933.0607313
316	927.0151403
317	925.2969514
318	921.3239038
319	916.5700203
320	912.5236871
321	908.4157514
322	904.3226272
323	900.422989
324	895.7522058
325	892.8550909
326	889.3699041
327	886.8922538
328	881.6216732
329	878.136119
330	873.5452632
331	868.1375159
332	865.5312546
333	861.4880702
334	856.8995375
335	852.9707078
336	850.2487228
337	846.1038402
338	843.0095154
339	837.9042727
340	833.7070127
341	828.9229281
342	824.698837
343	821.6590138
344	818.7592443
345	815.72671
346	810.8608329
347	807.3294552
348	803.1238262
349	799.3949616
350	796.6805767
351	794.0114393
352	789.3161467
353	787.3574931
354	783.6083848
355	780.3892662
356	778.3067351
357	774.6847286
358	772.4697259
359	769.5722528
360	765.9005019
361	763.1564875
362	759.8076132
363	757.7602219
364	755.0798049
365	751.6265962
366	749.3043081
367	747.0279409
368	744.1639213
369	741.3384018
370	738.2586252
371	735.2923925
372	732.112772
373	729.0288898
374	726.8718555
375	724.2227767
376	721.4560429
377	719.2742377
378	717.0493548
379	715.0072606
380	712.3007811
381	708.6717334
382	706.5935787
383	704.7994202
384	702.8440606
385	700.2010366
386	697.4288419
387	695.4251603
388	694.886831
389	692.3129388
390	690.0417507
391	687.6341236
392	685.2564977
393	682.8160711
394	680.6983613
395	679.1592121
396	676.9733518
397	675.2717497
398	673.1934484
399	671.170006
400	670.3137789
401	668.3758494
402	665.6942998
403	663.5428979
404	661.820336
405	661.3437724
406	659.8022692
407	658.3621177
408	655.7471827
409	653.9393086
410	651.6377818
411	650.0396358
412	647.6033275
413	645.4076542
414	643.4816748
415	642.3048544
416	640.5219827
417	638.5625058
418	636.6204806
419	635.4177943
420	633.708973
421	630.798419
422	628.8064298
423	627.1940196
424	625.9018237
425	624.0205385
426	622.1990852
427	620.3625837
428	618.5148736
429	616.4577886
430	614.5044317
431	614.1197262
432	612.2602996
433	611.4052078
434	609.6924243
435	607.5576598
436	605.6588424
437	605.3000742
