iter	Passed	Remaining
0	0	217
1	1	283
2	2	296
3	2	294
4	3	317
5	4	304
6	5	310
7	5	305
8	6	322
9	7	314
10	8	311
11	9	332
12	10	328
13	10	322
14	11	318
15	11	312
16	11	296
17	12	293
18	13	290
19	13	292
20	14	289
21	15	287
22	15	285
23	16	284
24	17	284
25	17	283
26	18	280
27	19	279
28	19	277
29	20	277
30	21	276
31	21	275
32	22	272
33	22	272
34	23	269
35	23	267
36	24	264
37	25	264
38	25	262
39	26	264
40	27	264
41	27	262
42	28	262
43	29	262
44	29	261
45	30	260
46	31	258
47	31	257
48	32	256
49	32	255
50	33	254
51	33	252
52	34	250
53	35	250
54	35	249
55	36	249
56	37	249
57	38	250
58	38	249
59	39	248
60	40	247
61	40	246
62	41	247
63	42	246
64	42	245
65	43	244
66	43	243
67	44	243
68	45	241
69	45	241
70	46	241
71	47	239
72	47	238
73	48	237
74	49	237
75	49	236
76	50	235
77	50	234
78	51	234
79	52	234
80	52	233
81	53	232
82	54	231
83	54	230
84	55	229
85	55	228
86	56	227
87	57	226
88	58	228
89	58	227
90	59	227
91	60	225
92	60	224
93	61	223
94	62	224
95	62	223
96	63	222
97	63	221
98	64	220
99	65	219
100	65	219
101	66	217
102	66	217
103	67	217
104	68	216
105	68	215
106	69	214
107	70	214
108	70	213
109	71	212
110	71	211
111	72	210
112	73	210
113	73	208
114	73	207
115	74	207
116	75	206
117	75	205
118	76	205
119	77	204
120	77	203
121	78	202
122	78	201
123	79	200
124	79	199
125	80	199
126	81	199
127	82	198
128	82	198
129	83	197
130	84	197
131	85	197
132	85	196
133	86	195
134	86	195
135	87	194
136	87	193
137	88	192
138	89	192
139	90	192
140	90	191
141	91	190
142	91	189
143	92	189
144	93	188
145	93	187
146	94	186
147	94	186
148	95	185
149	96	184
150	96	184
151	97	183
152	98	183
153	99	184
154	100	183
155	101	183
156	101	182
157	102	181
158	103	181
159	103	180
160	104	179
161	105	179
162	105	178
163	106	177
164	106	176
165	107	175
166	107	174
167	108	173
168	108	173
169	109	172
170	110	172
171	110	171
172	111	170
173	112	170
174	113	170
175	113	169
176	114	168
177	114	167
178	115	167
179	116	167
180	117	166
181	117	165
182	118	164
183	118	164
184	119	163
185	120	162
186	120	162
187	121	161
188	121	160
189	122	160
190	123	159
191	123	158
192	124	157
193	124	156
194	125	156
195	126	155
196	126	155
197	127	154
198	127	153
199	128	152
200	129	152
201	129	151
202	130	151
203	131	151
204	132	150
205	133	150
206	133	149
207	134	148
208	134	147
209	134	146
210	135	145
211	136	145
212	136	144
213	137	143
214	138	143
215	139	143
216	139	142
217	140	141
218	141	141
219	141	140
220	142	140
221	143	139
222	144	139
223	144	138
224	145	137
225	146	137
226	146	136
227	147	135
228	148	135
229	148	134
230	149	133
231	149	133
232	150	132
233	151	131
234	151	131
235	152	130
236	153	129
237	153	129
238	154	128
239	154	127
240	155	126
241	155	126
242	156	125
243	156	124
244	157	124
245	158	123
246	158	122
247	159	122
248	159	121
249	160	120
250	161	119
251	161	119
252	162	118
253	162	117
254	163	117
255	163	116
256	164	115
257	165	115
258	166	114
259	166	114
260	167	113
261	167	112
262	168	112
263	168	111
264	169	110
265	170	109
266	170	109
267	171	108
268	171	107
269	173	107
270	173	107
271	174	106
272	175	105
273	175	105
274	176	104
275	176	103
276	177	103
277	178	102
278	179	102
279	179	101
280	180	100
281	180	100
282	181	99
283	182	98
284	182	98
285	183	97
286	184	96
287	185	96
288	185	95
289	186	94
290	186	94
291	187	93
292	187	92
293	188	92
294	189	91
295	189	91
296	190	90
297	190	89
298	191	88
299	192	88
300	192	87
301	193	86
302	193	86
303	194	85
304	194	84
305	195	84
306	195	83
307	196	82
308	196	82
309	197	81
310	198	80
311	198	80
312	199	79
313	200	79
314	200	78
315	201	77
316	201	77
317	202	76
318	202	75
319	203	74
320	204	74
321	205	74
322	205	73
323	206	72
324	207	72
325	207	71
326	208	70
327	208	70
328	209	69
329	210	68
330	211	68
331	212	67
332	212	67
333	213	66
334	213	65
335	214	65
336	214	64
337	215	63
338	216	63
339	216	62
340	217	61
341	217	61
342	218	60
343	219	59
344	219	59
345	221	58
346	221	58
347	222	57
348	222	56
349	223	56
350	224	55
351	224	54
352	225	54
353	225	53
354	226	52
355	227	52
356	227	51
357	228	51
358	228	50
359	229	49
360	229	49
361	230	48
362	230	47
363	231	47
364	232	46
365	232	45
366	233	45
367	233	44
368	234	43
369	235	43
370	235	42
371	236	41
372	236	41
373	237	40
374	238	40
375	238	39
376	239	38
377	239	38
378	240	37
379	241	36
380	241	36
381	243	35
382	243	35
383	244	34
384	245	33
385	245	33
386	246	32
387	246	31
388	246	31
389	247	30
390	248	29
391	248	29
392	249	28
393	249	27
394	250	27
395	251	26
396	251	26
397	252	25
398	252	24
399	253	24
400	254	23
401	254	22
402	255	22
403	255	21
404	256	20
405	256	20
406	257	19
407	258	18
408	258	18
409	259	17
410	259	17
411	260	16
412	261	15
413	261	15
414	262	14
415	262	13
416	263	13
417	263	12
418	264	11
419	265	11
420	265	10
421	266	10
422	266	9
423	267	8
424	268	8
425	268	7
426	269	6
427	269	6
428	270	5
429	270	5
430	271	4
431	272	3
432	272	3
433	273	2
434	274	1
435	274	1
436	275	0
437	275	0
